feature,mean_abs_shap
spo2_max,0.2886730313310783
temperature_min,0.038734517863682816
creatinine_min,0.03843853799668704
spo2_mean,0.03139415666612998
creatinine_max,0.02686656273097143
wbc_min,0.01662922212455257
resp_rate_min,0.012342824158221974
spo2_min,0.01018097539279174
temperature_max,0.009230036469038094
sbp_max,0.008949918277658044
wbc_max,0.007931171165440693
temperature_mean,0.006877311973855883
potassium_min,0.004949257005587141
sodium_min,0.004687269999832727
potassium_max,0.004496886427100466
heart_rate_max,0.004136762154060282
sbp_min,0.0038860102445797606
sbp_mean,0.0036243318265696224
heart_rate_min,0.003610998333913145
hemoglobin_max,0.003458455208106512
age_at_intime,0.0033649765045645056
resp_rate_max,0.0030095360905801117
sodium_max,0.0026438738470791856
hemoglobin_min,0.00204987434798686
heart_rate_mean,0.002005014740450424
dbp_mean,0.001802199021648541
dbp_min,0.0017601869757917197
resp_rate_mean,0.0016154293567326467
dbp_max,0.0015547397425806973
hospital_expire_flag,0.0003381190059527036
